,nconst,primaryName,knownForTitles
266,nm0439170,james karen,"tt0089907,tt0166924,tt0084516,tt0454921"
267,nm0440990,elliott kastner,"tt0094761,tt0092563,tt0065207,tt0070334"
268,nm0000432,gene hackman,"tt0105695,tt0265666,tt0067116,tt0069113"
269,nm0535861,patrick magee,"tt0058777,tt0066921,tt0072684,tt0082158"
270,nm0001831,david warner,"tt0102975,tt0084827,tt0113409,tt0120338"
271,nm0000273,alan arkin,"tt0449059,tt1024648,tt0099487,tt0104348"
272,nm0709907,john randolph,"tt0097958,tt0128853,tt0067065,tt0070666"
273,nm0000186,david lynch,"tt0460829,tt0098936,tt0105665,tt0166924"
274,nm0000095,woody allen,"tt0079522,tt0075686,tt0097123,tt0118954"
275,nm0001566,mike nichols,"tt0061184,tt0115685,tt0061722,tt0376541"
276,nm0780005,vito scotti,"tt0065421,tt0107659,tt0113161,tt0068646"
277,nm0548524,ted markland,"tt0116830,tt0073486,tt0083437,tt0099044"
278,nm0459369,max kleven,"tt0114508,tt0145487,tt0089941,tt0102798"
279,nm0934750,william windom,"tt0098554,tt0056592,tt0067065,tt0139668"
280,nm0001868,michael york,"tt0145660,tt0063518,tt0068327,tt0074812"
281,nm0394588,michael hordern,"tt0072684,tt0065207,tt0078480,tt0056937"
282,nm0689488,michael j. pollard,"tt0096061,tt0061418,tt0098439,tt0093886"
283,nm0001428,klaus kinski,"tt0059578,tt0079641,tt0083946,tt0068182"
284,nm0001510,strother martin,"tt0065214,tt0061512,tt0076723,tt0065126"
285,nm0140826,gordon carroll,"tt0078748,tt0090605,tt0370263,tt0118583"
286,nm0000608,burt reynolds,"tt0117765,tt0068473,tt0076729,tt0118749"
287,nm0879918,kichijirô ueda,"tt0050613,tt0051808,tt0047478,tt0042876"
288,nm0000163,dustin hoffman,"tt0095953,tt0064665,tt0061722,tt0084805"
289,nm0000640,martin sheen,"tt0407887,tt0069762,tt0078788,tt1441912"
290,nm0697515,louis prima,"tt0061852,tt0124298,tt0112641,tt3640424"
291,nm0002103,julian glover,"tt0082398,tt0332452,tt0097576,tt0080684"
292,nm0000184,george lucas,"tt0082971,tt0066434,tt0069704,tt0076759"
293,nm0083081,edward binns,"tt0050083,tt0066206,tt0084855,tt0053125"
294,nm0625358,erik l. nelson,"tt0368891,tt0072308,tt0069113,tt0114558"
295,nm0002099,henry gibson,"tt0080455,tt0073440,tt0093260,tt0175880"
296,nm0003909,michael lonsdale,"tt0408306,tt0069947,tt0122690,tt0079574"
297,nm0330150,don gordon,"tt0099528,tt0062765,tt0072308,tt0070511"
298,nm0000265,robert altman,"tt0066026,tt0105151,tt0108122,tt0280707"
